Options:
 Epochs: 20, BatchSize: 200, Loss:,  Learning Rate: 0.1 
0,100,2.050483556985855
0,200,1.7582273817062377
1,100,1.5390610098838806
1,200,1.4182488715648651
2,100,1.2654944455623627
2,200,1.1751292991638183
3,100,1.0976164120435714
3,200,1.0377457928657532
4,100,0.9824885147809982
4,200,0.9233405035734177
5,100,0.8930853176116943
5,200,0.8449906361103058
6,100,0.8212524765729904
6,200,0.7866403818130493
7,100,0.7639785420894623
7,200,0.7276367688179016
8,100,0.7193940079212189
8,200,0.6896813249588013
9,100,0.6775783342123032
9,200,0.6495291429758072
10,100,0.6380069351196289
10,200,0.6158044576644898
11,100,0.609837689101696
11,200,0.5880735489726067
12,100,0.5757227301597595
12,200,0.5561147344112396
13,100,0.5502581942081451
13,200,0.5371641063690186
14,100,0.5324345937371254
14,200,0.5235125631093979
15,100,0.5021732237935066
15,200,0.49925156831741335
16,100,0.47802497893571855
16,200,0.47971678018569947
17,100,0.4561295732855797
17,200,0.45915366023778914
18,100,0.4466343003511429
18,200,0.44641872495412827
19,100,0.433356848359108
19,200,0.43014250189065933
Training Done: 
 Loss, Accuracy (%) 
0.8893305253982544,0.747
